default_country_code,search,orig_ad_url,work_from_home,open_source,startup,kegerator,bleeding_edge_tech,meaningful_jobs
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=84bb9ae7dda5e5d8,"","","","",on,""
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=c47f4b157793ff7a,"","","","",on,""
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=eb29a844c2b2f3d9,"","","","",on,""
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=20e5756875749c39,"","","","",on,""
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=e0beee955a631395,"","","","",on,""
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=8552d0cc9075cace,"","","","",on,""
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=87b5bd1f3c523468,"","","","",on,""
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=032510b7765bca2f,"","","","",on,""
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=84b6b267f41ec530,"","","","",on,""
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=67407c1a62c0ad3a,"","","","",on,""
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=b72f3e15e090f284,"","","","",on,""
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=27395f17040891b3,"","","","",on,""
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=0dcb6b506f291a43,"","","","",on,""
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=e40ad366412a6dd8,"","","","",on,""
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=3504d447645a3a66,"","","","",on,""
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=59a91a09340f027f,"","","","",on,""
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=7efc6d0bfeef13ee,"","","","",on,""
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=7d7bdc6b8da2335c,"","","","",on,""
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=ce4e8e3e1f1c4eab,"","","","",on,""
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=b31e0da218b77ee5,"","","","",on,""
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=12061154b5976721,"","","","",on,""
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=1dac6c47f19035ba,"","","","",on,""
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=9f6aa40c3a23462c,"","","","",on,""
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=977abd2fa28f8a58,"","","","",on,""
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=377a700ccf87dc8b,"","","","",on,""
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=abdd1cfbb3d3400f,"","","","",on,""
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=3c298724a42e8e47,"","","","",on,""
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=3e8e9c4bae7cd06c,"","","","",on,""
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=b961de1516f42c5f,"","","","",on,""
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=bdea510911f01094,"","","","",on,""
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=7073d00ae22e1926,"","","","",on,""
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=32fe2158cee54d52,"","","","",on,""
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=5bd9a2316c8be78d,"","","","",on,""
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=da74fb6f2e8ee490,"","","",on,on,""
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=9d9d01eff0089e81,"","","","",on,""
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=21f1f45bfe0382b5,"","","","",on,""
us,bleeding_edge_tech,http://www.indeed.com/rc/clk?jk=180b9e7de61462dc,"","","","",on,""
